,LATNUM,LONGNUM
0,10.109415,-2.807555
1,10.388513,-3.907798
2,9.882864,-2.925703
3,13.573418,-2.16312
4,12.453299,-3.461899
5,12.045308,-2.083828
6,14.354198,-0.672096
7,12.311034,-1.562071
8,11.780763,-0.363904
9,13.225114,-1.337994
10,12.257957,-1.580725
11,12.347135,-1.525563
12,12.206242,-0.635913
13,11.003476,-0.862065
15,11.153261,-4.299484
16,12.082664,0.036727
17,12.333709,-1.570541
19,12.25055,-2.314605
20,12.991776,-0.130199
21,11.140421,-4.332875
22,12.576038,-2.061067
23,11.935787,-1.550645
24,13.334079,0.334133
26,13.625441,-2.957449
27,11.146847,-4.194512
30,13.411583,-1.784539
31,11.340071,-4.392795
32,13.857371,-1.888292
33,12.997927,-2.361195
34,10.636343,-5.099515
35,12.357662,-1.450608
36,13.924683,-2.358051
37,14.35238,-0.595966
38,14.011574,-1.108112
39,12.066752,0.336321
40,13.722037,-2.124789
41,11.675384,-0.930571
43,14.391355,0.205113
44,11.815498,-0.407874
45,12.395007,-1.58993
46,11.789239,-0.731029
47,14.273547,-1.466946
49,12.434032,-2.726864
50,12.487741,1.108082
51,10.643663,-4.752587
52,11.361044,-0.588096
53,12.371034,-1.502172
54,12.816884,-1.59489
55,11.667293,-1.069946
56,12.268623,-2.351418
58,12.094527,-3.661177
59,10.011584,-4.49659
60,10.66951,-3.577657
61,12.37048,-1.491622
62,12.402839,-1.467623
63,12.341763,-1.573263
64,12.458446,-3.416953
65,12.291861,-2.451599
66,12.325955,-0.648306
67,11.137935,0.812677
68,13.102305,-1.110773
69,12.040364,-2.697336
70,12.058901,-1.342583
71,11.391082,0.034848
72,12.898892,0.208355
73,11.180897,-3.048518
74,12.657737,-1.890669
75,11.247308,-2.951582
76,14.288375,-1.841096
78,12.579385,-1.302727
79,11.824379,-1.281051
80,13.587589,-2.404808
81,10.681623,-2.921532
82,14.764099,-0.701351
83,11.595796,-3.734358
84,13.287746,-0.288676
85,13.126832,-0.474611
86,10.623121,-4.750122
87,12.45215,-1.50235
88,13.556581,-2.416411
89,12.724523,-1.458212
90,13.965912,0.140244
91,11.204153,-3.835975
93,13.21631,-3.402839
94,13.08741,-1.55914
95,13.926065,-0.621687
96,13.996752,-0.455815
97,12.412302,-2.091716
98,13.207396,-2.33292
99,11.214297,-4.297445
100,12.157775,-3.057831
101,11.445107,-1.375463
102,13.795614,-2.08919
103,13.458714,-2.593186
104,11.827348,-4.286511
105,12.375584,-1.59758
106,12.905742,-1.875587
108,12.991244,-0.470765
109,11.704772,-1.176198
110,11.547855,-0.953401
111,12.435974,-1.804617
112,12.396911,-1.585047
113,13.073901,-3.07037
114,10.33425,-3.191713
115,10.40725,-3.575604
116,12.379666,-1.460304
117,12.387015,-1.423612
118,10.633128,-4.772543
119,13.371844,-1.869378
120,11.275982,-0.308889
121,10.416851,-3.29208
122,11.082006,-4.174616
123,12.243032,-2.379474
124,11.42296,-1.87833
125,10.115371,-3.390232
126,9.904725,-4.276925
128,13.783894,-0.132581
129,11.899799,-1.394522
130,11.197363,-4.287301
131,11.971339,-2.327599
132,14.038373,-0.025185
133,12.984089,-2.790386
134,14.093874,-1.626029
135,12.323488,-1.534711
136,10.325593,-3.161334
137,14.325145,-1.46671
138,11.825634,-0.459292
139,12.914139,-4.174205
140,11.114204,-2.106373
141,13.055246,-1.926182
142,11.137273,-4.312672
143,12.399321,-1.474127
144,12.977585,-1.218014
145,12.880258,-0.72242
146,11.604378,-0.00445
147,12.421491,-3.590393
148,12.451779,1.503227
149,11.347641,-1.617787
150,11.077866,-5.244539
151,11.774325,-0.368609
152,11.619531,-0.447134
153,13.250679,-2.243943
154,10.977046,-3.501715
